Date,City,AQI
2016-03-26,Ujjain,
2016-03-27,Pithampur,
2016-03-27,Ujjain,
2016-03-28,Pithampur,
2016-03-28,Ujjain,
2016-03-29,Pithampur,
2016-03-29,Ujjain,
2016-03-30,Pithampur,
2016-03-30,Ujjain,
2016-03-31,Pithampur,
2016-03-31,Ujjain,
2016-04-01,Pithampur,
2016-04-01,Ujjain,
2016-04-02,Pithampur,
2016-04-02,Ujjain,
2016-04-03,Pithampur,
2016-04-03,Ujjain,
2016-04-04,Pithampur,
2016-04-04,Ujjain,
2016-04-05,Pithampur,
2016-04-05,Ujjain,
2016-04-06,Pithampur,
2016-04-06,Ujjain,
2016-04-07,Pithampur,
2016-04-07,Ujjain,
2016-04-08,Pithampur,
2016-04-08,Ujjain,
2016-04-09,Pithampur,
2016-04-09,Ujjain,
2016-04-10,Pithampur,
2016-04-10,Ujjain,
2016-04-11,Pithampur,
2016-04-11,Ujjain,
2016-04-12,Pithampur,
2016-04-12,Ujjain,
2016-04-13,Pithampur,
2016-04-13,Ujjain,
2016-04-14,Pithampur,
2016-04-14,Ujjain,
2016-04-15,Pithampur,
2016-04-15,Ujjain,
2016-04-16,Pithampur,
2016-04-16,Ujjain,
2016-04-17,Pithampur,
2016-04-17,Ujjain,
2016-04-18,Pithampur,
2016-04-18,Ujjain,
2016-04-19,Pithampur,
2016-04-19,Ujjain,
2016-04-20,Pithampur,
2016-04-20,Ujjain,
2016-04-21,Pithampur,
2016-04-21,Ujjain,
2016-04-22,Pithampur,
2016-04-22,Ujjain,
2016-04-23,Pithampur,
2016-04-23,Ujjain,
2016-04-24,Pithampur,
2016-04-24,Ujjain,
2016-04-25,Pithampur,
2016-04-25,Ujjain,
2016-04-26,Pithampur,
2016-04-26,Ujjain,
2016-04-27,Pithampur,
2016-04-27,Ujjain,
2016-04-28,Pithampur,
2016-04-28,Ujjain,
2016-04-29,Pithampur,
2016-04-29,Ujjain,
2016-04-30,Pithampur,
2016-04-30,Ujjain,
2016-05-01,Pithampur,
2016-05-01,Ujjain,
2016-05-02,Pithampur,
2016-05-02,Ujjain,
2016-05-03,Pithampur,
2016-05-03,Ujjain,
2016-05-04,Pithampur,
2016-05-04,Ujjain,
2016-05-05,Pithampur,
2016-05-05,Ujjain,
2016-05-06,Pithampur,
2016-05-06,Ujjain,
2016-05-07,Pithampur,
2016-05-07,Ujjain,
2016-05-08,Pithampur,
2016-05-08,Ujjain,
2016-05-09,Pithampur,
2016-05-09,Ujjain,
2016-05-10,Pithampur,
2016-05-10,Ujjain,
2016-05-11,Pithampur,
2016-05-11,Ujjain,
2016-05-12,Pithampur,
2016-05-12,Ujjain,
