Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2020-05-23 11:00:00,229.91,51.58,14.36,1.0,38.03
2020-05-23 12:00:00,291.6,50.56,14.35,0.94,38.8
2020-05-23 13:00:00,288.08,44.4,14.36,0.91,37.33
2020-05-23 14:00:00,192.54,36.0,14.32,0.86,32.66
2020-05-23 15:00:00,149.3,33.07,14.45,0.82,31.89
2020-05-23 16:00:00,136.59,23.22,14.38,0.84,32.46
2020-05-23 17:00:00,111.64,24.88,14.84,0.86,31.74
2020-05-23 18:00:00,116.12,22.63,15.41,0.88,31.5
2020-05-23 19:00:00,119.7,26.77,15.4,0.92,22.68
2020-05-23 20:00:00,137.75,26.84,14.8,1.03,18.69
2020-05-23 21:00:00,184.92,38.24,14.54,1.27,13.28
2020-05-23 22:00:00,301.82,46.2,14.14,0.93,26.07
2020-05-23 23:00:00,207.94,22.98,14.06,0.95,22.91
2020-05-24 00:00:00,152.42,28.22,14.09,0.97,20.41
2020-05-24 01:00:00,151.2,27.11,14.12,0.94,19.95
2020-05-24 02:00:00,174.81,30.36,14.05,1.03,17.47
2020-05-24 03:00:00,181.6,36.42,14.1,1.0,18.87
2020-05-24 04:00:00,189.58,36.71,14.16,1.07,19.45
2020-05-24 05:00:00,201.06,44.03,14.23,1.13,16.05
2020-05-24 06:00:00,201.56,46.34,14.31,1.16,9.22
2020-05-24 07:00:00,188.36,49.23,14.31,1.23,9.31
2020-05-24 08:00:00,204.36,43.3,14.19,1.27,11.68
2020-05-24 09:00:00,204.09,50.82,14.1,1.26,24.57
2020-05-24 10:00:00,202.55,61.91,14.26,1.18,39.88
2020-05-24 11:00:00,207.83,52.75,14.17,1.12,44.33
2020-05-24 12:00:00,213.37,50.59,14.18,1.08,42.89
2020-05-24 13:00:00,134.17,30.71,14.21,1.0,39.46
2020-05-24 14:00:00,135.14,25.43,14.19,0.97,38.72
2020-05-24 15:00:00,106.76,18.84,14.13,0.95,37.83
2020-05-24 16:00:00,123.69,33.15,14.22,0.97,42.08
2020-05-24 17:00:00,94.94,21.77,14.08,0.99,41.5
2020-05-24 18:00:00,82.6,15.47,14.14,0.98,43.7
2020-05-24 19:00:00,82.8,23.35,14.09,1.03,40.18
2020-05-24 20:00:00,99.11,23.28,14.09,1.14,31.9
2020-05-24 21:00:00,119.07,27.29,14.02,1.3,25.54
2020-05-24 22:00:00,171.06,53.29,14.28,1.29,25.92
2020-05-24 23:00:00,183.68,75.62,14.39,1.33,24.17
2020-05-25 00:00:00,154.09,67.15,14.24,1.39,20.42
2020-05-25 01:00:00,140.22,64.89,14.18,1.42,18.66
2020-05-25 02:00:00,140.3,61.16,14.11,1.38,17.29
2020-05-25 03:00:00,138.22,61.05,14.15,1.38,16.76
2020-05-25 04:00:00,152.57,64.34,14.04,1.45,14.14
2020-05-25 05:00:00,217.35,100.57,14.04,1.68,11.76
2020-05-25 06:00:00,239.22,120.74,14.11,1.57,10.61
2020-05-25 07:00:00,178.43,83.72,14.06,1.59,12.98
2020-05-25 08:00:00,209.93,86.47,14.08,1.48,26.83
2020-05-25 09:00:00,165.84,66.07,14.08,1.38,38.63
2020-05-25 10:00:00,158.53,61.9,14.12,1.35,47.57
2020-05-25 11:00:00,147.49,54.26,14.15,1.26,51.81
2020-05-25 12:00:00,123.15,44.96,14.13,1.17,49.91
2020-05-25 13:00:00,94.31,35.35,14.14,1.11,48.24
